"","World","Job","mean","median","max","sd"
"144","bera","Pathfinder",215.543316831683,212,274,9.99872957322596
"145","bera","Mechanic",214.990476190476,210,256,11.2262529179934
"146","bera","Blaster",217.219072164948,214,256,10.5041371037568
"147","bera","Beast Tamer",211.060763888889,210,250,5.86112813949949
"148","bera","Blaze Wizard",212.633037694013,210,270,8.31934319026045
"149","bera","Illium",219.32905982906,216,260,12.5769157011703
"150","bera","Jett",213.833333333333,210,259,11.7703451793491
"151","bera","Hoyoung",213.452961672474,211,252,7.44140631272835
"152","elysium","Evan",213.415343915344,210,275,9.72810620891407
"153","elysium","Kanna",214.426940639269,210,275,10.9332770507671
"154","elysium","Luminous",211.715923566879,210,275,8.55218456960083
"155","elysium","Thief",214.18144499179,211,275,10.225754966345
"156","elysium","Dual Blade",214.777911164466,211,257,10.9372067853788
"157","elysium","Pirate",213.828711256117,210,275,9.58237545783174
"158","elysium","Magician",212.773684210526,210,267,9.65177773552314
"159","elysium","Xenon",212.616666666667,210,272,9.44760475578445
"160","elysium","Hayato",213.841201716738,210,250,9.62958902324231
"161","elysium","Wind Archer",214.029032258065,211,250,9.54240047511292
"162","elysium","Mercedes",213.011516314779,210,275,9.52485926628421
"163","elysium","Bowman",213.964285714286,210,265,10.6662668314786
"164","elysium","Wild Hunter",213.148148148148,210,259,9.60687311352054
"165","elysium","Angelic Buster",213.234920634921,210,261,9.19336091676545
"166","elysium","Kinesis",214.15234375,210,255,9.80137217159304
"167","elysium","Battle Mage",211.630281690141,209,253,9.08152700720319
"168","elysium","Night Walker",212.206896551724,210,251,8.2771444993334
"169","elysium","Phantom",212.460244648318,210,262,9.3422639878057
"170","elysium","Aran",213.589251439539,210,274,9.52528010975785
"171","elysium","Thunder Breaker",214.026785714286,211,250,9.45492847451384
"172","elysium","Shade",213.873315363881,210,275,10.1798749291556
"173","elysium","Warrior",214.420454545455,210,275,10.2566736190073
"174","elysium","Demon Slayer",212.853773584906,210,264,8.79346580454732
"175","elysium","Kaiser",213.912114014252,210,275,10.9891448840302
"176","elysium","Ark",213.79754601227,210,250,8.33170737637667
"177","elysium","Cadena",213.671328671329,210,250,8.94960556513504
"178","elysium","Zero",213.919491525424,210,257,11.1413368016664
"179","elysium","Demon Avenger",211.866344605475,210,261,8.01368855129666
"180","elysium","Mihile",211.031746031746,210,237,6.2474982192055
"181","elysium","Dawn Warrior",214.860927152318,211,250,10.514776735686
"182","elysium","Pathfinder",214.659793814433,211,257,9.67732140337274
"183","elysium","Mechanic",213.428571428571,210,252,10.314716415937
"184","elysium","Blaster",214.535885167464,212,251,9.58062469389192
"185","elysium","Beast Tamer",210.916666666667,210,253,5.93695096489618
"186","elysium","Blaze Wizard",212,210,242,7.71024601227774
"187","elysium","Illium",216.033333333333,210,250,13.170288424144
"188","elysium","Jett",213.236363636364,211,253,7.94882622679841
"189","elysium","Hoyoung",211.717171717172,210,256,7.8818318652357
